"Dataset File","Collected","Variable","Label","Description"
"Form 80 - Physical Measurements","Baseline, Main","F80DAYS","F80 Days since randomization/enrollment",""
"Form 80 - Physical Measurements","Baseline, Main","F80VTYP","Visit Type",""
"Form 80 - Physical Measurements","Baseline, Main","F80VY","Visit year","Visit year for which this form was collected."
"Form 80 - Physical Measurements","Baseline, Main","F80VCLO","Closest to visit within visit type and year","For forms entered with the same visit type and year, indicates the one closest to that visit's target date. Valid for forms entered with an annual visit type."
"Form 80 - Physical Measurements","Baseline, Main","F80EXPC","Expected for visit","Was data expected to be collected at this visit?"
"Form 80 - Physical Measurements","Baseline, Main","PULSE30","Resting pulse in 30 seconds",""
"Form 80 - Physical Measurements","Baseline, Main","SYSTBP1","Systolic blood pressure (1st reading)",""
"Form 80 - Physical Measurements","Baseline, Main","DIASBP1","Diastolic blood pressure (1st reading)",""
"Form 80 - Physical Measurements","Baseline, Main","SYSTBP2","Systolic blood pressure (2nd reading)",""
"Form 80 - Physical Measurements","Baseline, Main","DIASBP2","Diastolic blood pressure (2nd reading)",""
"Form 80 - Physical Measurements","Baseline, Main","HEIGHT","Height, cm","Anthropometric Measures Height: cm"
"Form 80 - Physical Measurements","Baseline, Main","WEIGHT","Weight, kg","Anthropometric Measures Weight: kg"
"Form 80 - Physical Measurements","Baseline, Main","WAIST","Waist, cm","Waist circumference: (to nearest 0.5 cm)"
"Form 80 - Physical Measurements","Baseline, Main","HIP","Hip, cm","Hip circumference: (to nearest 0.5 cm)"
"Form 80 - Physical Measurements","Baseline, Main","WHEXPECT","Waist and Hip measurement expected","Flag indicating if Waist and Hip measurement collection is expected. Waist and Hip measurements are expected for all participants at baseline, at year 1 for CT, at year 3 for OS, and for a subsample of CT participants at years 3, 6, and 9."
"Form 80 - Physical Measurements","Baseline, Main","SYST","Systolic BP","Computed from Form 80, questions 6.1 and 6.2.  Systolic blood pressure:  average of two baseline measurements.  If only one measurement is known, the single value is used."
"Form 80 - Physical Measurements","Baseline, Main","SYSTOL","Systolic BP","Computed from Form 80, questions 6.1 and 6.2.  See SYST.  Categorization of SYST into three groups: <= 120, >120-140 and > 140 ."
"Form 80 - Physical Measurements","Baseline, Main","DIAS","Diastolic BP","Computed from Form 80, questions 6.1 and 6.2.  Diastolic blood pressure:  average of two baseline measurements.  If only one measurement is known, the single value is used."
"Form 80 - Physical Measurements","Baseline, Main","DIASTOL","Diastolic BP","Computed from Form 80, questions 6.1 and 6.2.  See DIAS.  Categorization of DIAS into two groups:  < 90 and >= 90 ."
"Form 80 - Physical Measurements","Baseline, Main","BMI","Body-mass Index (BMI), kg/m2","If a participant's BMI is greater than 70, BMI is missing."
"Form 80 - Physical Measurements","Baseline, Main","BMIC","Body-mass Index (BMI), kg/m2","Computed from Form 80/90, height and weight.  Reference:  Expert Panel on the identification, evaluation, and treatment on overweight in adults (1998).  Categorization of BMI into six groups.  If a participant's BMI is greater than 70, BMIC is missing."
"Form 80 - Physical Measurements","Baseline, Main","WHR","Waist/Hip Ratio (WHR)","Computed from Form 80, questions 7 and 8.  Ratio of waist circumference (cm) to hip circumference (cm)."
"Form 81 - Pelvic Exam","Baseline, Main","ID","WHI Participant Common ID",""
"Form 81 - Pelvic Exam","Baseline, Main","F81DAYS","F81 Days since randomization","Days between randomization and the date the form was initiated"
"Form 81 - Pelvic Exam","Baseline, Main","F81VTYP","Visit Type",""
"Form 81 - Pelvic Exam","Baseline, Main","F81VY","Visit year","Visit year for which this form was collected."
"Form 81 - Pelvic Exam","Baseline, Main","F81VCLO","Closest to visit within visit type and year","For forms entered with the same visit type and year, indicates the one closest to that visit's target date. Valid for forms entered with an annual visit type."
"Form 81 - Pelvic Exam","Baseline, Main","F81EXPC","Expected for visit","This form/data was expected for this visit. Form 81 (Pelvic Exam) was expected at Baseline for all HT participants, and at Annual Visits 1-9 for HT participants without a hysterectomy. Pelvic exams were not expected after E+P study closure on 07/08/2002."
"Form 81 - Pelvic Exam","Baseline, Main","PELVICDY","Days from randomization to pelvic exam",""
"Form 81 - Pelvic Exam","Baseline, Main","PELVICBY","Pelvic exam performed by",""
"Form 81 - Pelvic Exam","Baseline, Main","PLVABNRM","Doctor found anything wrong","Were there any abnormal findings found during the pelvic exam?"
"Form 81 - Pelvic Exam","Baseline, Main","ADIPOSE","Loss of adipose tissue","External genitalia (vulva): loss of adipose tissue"
"Form 81 - Pelvic Exam","Baseline, Main","PLVHAIR","Thinning of hair","External genitalia (vulva): thinning of hair"
"Form 81 - Pelvic Exam","Baseline, Main","DISCVLVA","Genitalia - Abnormal discoloration","External genitalia (vulva): abnormal discoloration"
"Form 81 - Pelvic Exam","Baseline, Main","ULCERVLV","Genitalia - Ulceration","External genitalia (vulva): ulceration"
"Form 81 - Pelvic Exam","Baseline, Main","GROWVLVA","Genitalia - Growth","External genitalia (vulva): growth"
"Form 81 - Pelvic Exam","Baseline, Main","ATROPHY","Atrophy",""
"Form 81 - Pelvic Exam","Baseline, Main","PLVSMTH","Smooth",""
"Form 81 - Pelvic Exam","Baseline, Main","PLVPALE","Pale",""
"Form 81 - Pelvic Exam","Baseline, Main","FRIABVAG","Vagina - Friable with contact",""
"Form 81 - Pelvic Exam","Baseline, Main","BLOODVAG","Blood present",""
"Form 81 - Pelvic Exam","Baseline, Main","DISCVAG","Vagina - Abnormal discoloration",""
"Form 81 - Pelvic Exam","Baseline, Main","ULCERVAG","Vagina - Ulceration",""
"Form 81 - Pelvic Exam","Baseline, Main","GROWVAG","Vagina - Growth",""
"Form 81 - Pelvic Exam","Baseline, Main","CYSTOCEL","Cystocele",""
"Form 81 - Pelvic Exam","Baseline, Main","RECTOCEL","Rectocele",""
"Form 81 - Pelvic Exam","Baseline, Main","PLVCERVX","Cervix",""
"Form 81 - Pelvic Exam","Baseline, Main","CRVFLUSH","Flush with vaginal vault",""
"Form 81 - Pelvic Exam","Baseline, Main","FRIABCRV","Cervix - Friable with contact",""
"Form 81 - Pelvic Exam","Baseline, Main","LESION","Surface lesion/growth","Cervix: surface lesion/growth (other than ectopy, Nabothian cyst)"
"Form 81 - Pelvic Exam","Baseline, Main","POLYP","Polyp",""
"Form 81 - Pelvic Exam","Baseline, Main","PLVUTER","Uterus","Uterus (absent/present/unable to palpate)"
"Form 81 - Pelvic Exam","Baseline, Main","PROLAPSE","Prolapse",""
"Form 81 - Pelvic Exam","Baseline, Main","UTERSIZE","Uterine size (weeks)",""
"Form 81 - Pelvic Exam","Baseline, Main","UTERENLR","Enlarged since last exam",""
"Form 81 - Pelvic Exam","Baseline, Main","ADNEXAE","Adnexae","Adnexae (normal/mass present/unable to palpate)"
"Form 81 - Pelvic Exam","Baseline, Main","MASSLOC","Mass present","Adnexae:  location of mass"
"Form 81 - Pelvic Exam","Baseline, Main","PAPSMEAR","Pap smear obtained",""
"Form 81 - Pelvic Exam","Baseline, Main","PLVREFER","Referral made for follow-up","Was a referral made for follow-up care (pelvic exam)?"
"Form 81 - Pelvic Exam","Baseline, Main","PLVREFDY","Days from randomiaztion to pelvic exam referral",""
"Form 81 - Pelvic Exam","Baseline, Main","PLVFURES","Pelvic follow-up results",""
"Form 82 - Endometrial Aspiration","Baseline, Main","ID","WHI Participant Common ID",""
"Form 82 - Endometrial Aspiration","Baseline, Main","F82DAYS","F82 Days since randomization","Days between randomization and initiation of form"
"Form 82 - Endometrial Aspiration","Baseline, Main","F82VTYP","Visit Type",""
"Form 82 - Endometrial Aspiration","Baseline, Main","F82VY","Visit year","Visit year for which this form was collected."
"Form 82 - Endometrial Aspiration","Baseline, Main","F82VCLO","Closest to visit within visit type and year","For forms entered with the same visit type and year, indicates the one closest to that visit's target date. Valid for forms entered with an annual visit type."
"Form 82 - Endometrial Aspiration","Baseline, Main","F82EXPC","Expected for visit","This form/data was expected for this visit. Form 82 (Endometrial Aspiration) was expected at Baseline for all Estrogen plus Progestin (E+P) participants, and at years 3, 6, and 9 for a subsample of E+P participants as long as they did not have a hysterectomy. Endometrial aspirations were not expected after E+P study closure on 07/08/2002."
"Form 82 - Endometrial Aspiration","Baseline, Main","ENDODY","Days from randomization to endometrial aspiration",""
"Form 82 - Endometrial Aspiration","Baseline, Main","EAPOSS","EA - Entry possible","Was entry into uterus possible?
"
"Form 82 - Endometrial Aspiration","Baseline, Main","EADEPTH","Depth of uterus (cm)",""
"Form 82 - Endometrial Aspiration","Baseline, Main","EAFLUID","Significant cavity fluid","Was significant endometrial cavity fluid found?
"
"Form 82 - Endometrial Aspiration","Baseline, Main","EAREVDY","Days from randomization to endometrial aspiration report review",""
"Form 82 - Endometrial Aspiration","Baseline, Main","EASUMM","Summary of endometrial aspiration report",""
"Form 82 - Endometrial Aspiration","Baseline, Main","EAREFER","Endometrial Aspiration - Referral made for follow-up care","Was a referral made for follow-up care (EA)?
"
"Form 82 - Endometrial Aspiration","Baseline, Main","EAREFDY","Days from randomization to endometrial aspiration referral",""
"Form 82 - Endometrial Aspiration","Baseline, Main","EAFURES","Endometrial aspiration follow-up results","Endometiral aspiration follow-up results
"
"Form 82 - Endometrial Aspiration","Baseline, Main","CNTRDY","Days from randomization to central lab endometrial aspiration review",""
"Form 82 - Endometrial Aspiration","Baseline, Main","CNTRSUMM","Central lab endometrial aspiration report summary","Summary of central lab endometrial aspiration report
"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","ID","WHI Participant Common ID",""
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","F83DAYS","F83 Days since randomization","Days between randomization and initiation of form"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","F83VTYP","Visit Type",""
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","F83VY","Visit year","Visit year for which this form was collected."
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","F83VCLO","Closest to visit within visit type and year","For forms entered with the same visit type and year, indicates the one closest to that visit's target date. Valid for forms entered with an annual visit type."
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","TVUDY","Days from randomization to ultrasound","Days from randomization to transvaginal uterine ultrasound"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","TVUREVDY","Days from randomization to TVU report review",""
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","TVUSUMM","Summary of transvaginal uterine ultrasound report",""
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","TVUPATH","Pelvic pathology present",""
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","PTHPOLYP","Polyps","Pelvic pathology present: Polyps"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","PTHUTMAS","Uterine mass","Pelvic pathology present: Uterine mass"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","PTHFLUID","Pelvic fluid","Pelvic pathology present: Pelvic fluid"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","PTHOVMAS","Ovarian mass","Pelvic pathology present: Ovarian mass"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","PTHOTHER","Other pelvic pathology","Pelvic pathology present: Other"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","PTHSIDE","Pathology side","Pelvic pathology present: Side"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","OUTPATH","Other pathology present outside","Other pathology present outside of the reproductive structures?"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","CAVFLUID","Significant cavity fluid","Was significant endometrial cavity fluid seen?"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","TVUREFER","TVU - Referral made for follow-up care","Was a referral made for follow-up care (TVU)?"
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","TVUREFDY","Days from randomization to TVU referral",""
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","ENDOFUP","Endometrial follow-up results",""
"Form 83 - Transvaginal Uterine Ultrasound","Baseline, Main","PATHFUP","Pelvic pathology follow-up results",""
"Form 84 - Clinical Breast Exam","Baseline, Main","ID","WHI Participant Common ID",""
"Form 84 - Clinical Breast Exam","Baseline, Main","F84DAYS","F84 Days since randomization","Days between randomization and initiation of form"
"Form 84 - Clinical Breast Exam","Baseline, Main","F84VTYP","Visit Type",""
"Form 84 - Clinical Breast Exam","Baseline, Main","F84VY","Visit year","Visit year for which this form was collected."
"Form 84 - Clinical Breast Exam","Baseline, Main","F84VCLO","Closest to visit within visit type and year","For forms entered with the same visit type and year, indicates the one closest to that visit's target date. Valid for forms entered with an annual visit type."
"Form 84 - Clinical Breast Exam","Baseline, Main","F84EXPC","Expected for visit","This form/data was expected for this visit. Form 84 (Clinical Breast Exam) was expected at Baseline for all CT, and at years 1 - 10 for HT."
"Form 84 - Clinical Breast Exam","Baseline, Main","CBECLCDY","Days from randomization to CBE",""
"Form 84 - Clinical Breast Exam","Baseline, Main","CBEBY","CBE exam performed by",""
"Form 84 - Clinical Breast Exam","Baseline, Main","CBEABNRM","Abnormal findings during breast exam","Were there any abnormal findings during the breast exam?"
"Form 84 - Clinical Breast Exam","Baseline, Main","NIPRT","Nipple discharge right",""
"Form 84 - Clinical Breast Exam","Baseline, Main","NIPLT","Nipple discharge left",""
"Form 84 - Clinical Breast Exam","Baseline, Main","SKINRT","Skin involvement right",""
"Form 84 - Clinical Breast Exam","Baseline, Main","SKINLT","Skin involvement left",""
"Form 84 - Clinical Breast Exam","Baseline, Main","AXILRT","Axillary mass right",""
"Form 84 - Clinical Breast Exam","Baseline, Main","AXILLT","Axillary mass left",""
"Form 84 - Clinical Breast Exam","Baseline, Main","BRMASSRT","Breast mass right",""
"Form 84 - Clinical Breast Exam","Baseline, Main","BRMASSLT","Breast mass left",""
"Form 84 - Clinical Breast Exam","Baseline, Main","BRMOBLRT","Mobile right","Primary mass: mobile (right)"
"Form 84 - Clinical Breast Exam","Baseline, Main","BRMOBLLT","Mobile left","Primary mass: mobile (left)"
"Form 84 - Clinical Breast Exam","Baseline, Main","BRSIZERT","Size right","Primary mass: size (right)"
"Form 84 - Clinical Breast Exam","Baseline, Main","BRSIZELT","Size left","Primary mass: size (left)"
"Form 84 - Clinical Breast Exam","Baseline, Main","MASSESRT","More than one mass right","Primary mass: more than one mass (right)"
"Form 84 - Clinical Breast Exam","Baseline, Main","MASSESLT","More than one mass left","Primary mass: more than one mass (left)"
"Form 84 - Clinical Breast Exam","Baseline, Main","BRSLFEX","Breast self-exam teaching","Breast self-exam teaching completed/reinforced"
"Form 84 - Clinical Breast Exam","Baseline, Main","BRREF","CBE - Referral made for follow-up care","Was referral made for follow-up care (CBE)?"
"Form 84 - Clinical Breast Exam","Baseline, Main","CBEREFDY","Days from randomization to CBE referral",""
"Form 84 - Clinical Breast Exam","Baseline, Main","BRFINRT","CBE final follow-up results right","CBE final follow-up results (right)"
"Form 84 - Clinical Breast Exam","Baseline, Main","BRFINLT","CBE final follow-up results left","CBE final follow-up results( left)"
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","ID","WHI Participant Common ID",""
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","F85DAYS","F85 Days from randomization",""
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","F85VTYP","Visit Type",""
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","F85VY","Visit year","Visit year for which this form was collected."
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","F85VCLO","Closest to visit within visit type and year","For forms entered with the same visit type and year, indicates the one closest to that visit's target date. Valid for forms entered with an annual or semi-annual visit type."
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","F85EXPC","Expected for visit","This form/data was expected for this visit. Form 85 (Mammogram) was expected at Baseline for all CT, at years 2, 4, 6, 8, 10 for DM,   every year of the WHI Main study for HT, as well as the first two years after close-out for HT participants in the Extension."
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","MAMMDY","Days from randomization to mammogram",""
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","REVIEWDY","Days from randomization to mammogram report review",""
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","RTBRST","Summary of mammogram right","Summary of mammogram report (Mark one.) Right
"
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","LTBRST","Summary of mammogram left","Summary of mammogram report (Mark one.) Left
"
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","FUREFER","Mammogram referral made for follow-up","Was a referral made for follow-up care (mammogram)?
"
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","REFERDY","Days from randomization to mammogram referral",""
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","MAMREPET","Repeat mammogram recommended",""
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","RFURESLT","Final mammogram follow-up results right",""
"Form 85 - Mammogram (WHI Main Study and Extension)","Baseline, Main, Ext1","LFURESLT","Final mammogram follow-up results left",""
"Form 90 - Functional Status","Baseline, Main","ID","WHI Participant Common ID",""
"Form 90 - Functional Status","Baseline, Main","F90DAYS","F90 Days since randomization",""
"Form 90 - Functional Status","Baseline, Main","F90VTYP","Visit Type",""
"Form 90 - Functional Status","Baseline, Main","F90VY","Visit year","Visit year for which this form was collected."
"Form 90 - Functional Status","Baseline, Main","F90VCLO","Closest to visit within visit type and year","For forms entered with the same visit type and year, indicates the one closest to that visit's target date. Valid for forms entered with an annual visit type."
"Form 90 - Functional Status","Baseline, Main","F90EXPC","Expected for visit","This form/data was expected for this visit. Form 90 (Functional Status) was expected at Baseline and at years 1, 3, 6, and 9 for a subsample of CT."
"Form 90 - Functional Status","Baseline, Main","GRIPSIDE","Grip strength: side tested",""
"Form 90 - Functional Status","Baseline, Main","GRIPDOM","Grip strength: dominance of hand","Grip strength: Dominance of hand used"
"Form 90 - Functional Status","Baseline, Main","GRIPSTR1","Grip strength measurement 1 (kg)","Grip strength: Measurement #1 (kg)"
"Form 90 - Functional Status","Baseline, Main","GRIPSTR2","Grip strength measurement 2 (kg)","Grip strength: Measurement #2 (kg)"
"Form 90 - Functional Status","Baseline, Main","CHRSTAND","Result of single chair stand",""
"Form 90 - Functional Status","Baseline, Main","CHRSTND1","Number of stands from first chair stand","Single chair stand:  Repeated chair stands in 15 seconds (first)"
"Form 90 - Functional Status","Baseline, Main","CHRSTND2","Number of stands from 2nd chair stand","Single chair stand:  Repeated chair stands in 15 seconds (second)"
"Form 90 - Functional Status","Baseline, Main","TIMEDWLK","Result of timed walk",""
"Form 90 - Functional Status","Baseline, Main","TIMEWLK1","Time of first timed walk (secs)","Timed walk: Time in seconds (first)"
"Form 90 - Functional Status","Baseline, Main","TIMEWLK2","Time of second timed walk (secs)","Timed walk: Time in seconds (second)"
"Form 90 - Functional Status","Baseline, Main","ASSTDWLK","Used assistive device for timed walk","Timed walk: Assistive device used?"
"Form 92 - Pap Smear","Baseline, Main","ID","WHI Participant Common ID",""
"Form 92 - Pap Smear","Baseline, Main","F92DAYS","F92 Days since randomization","Days between randomization and initiation of form"
"Form 92 - Pap Smear","Baseline, Main","F92VTYP","Visit Type",""
"Form 92 - Pap Smear","Baseline, Main","F92VY","Visit year","Visit year for which this form was collected."
"Form 92 - Pap Smear","Baseline, Main","F92VCLO","Closest to visit within visit type and year","For forms entered with the same visit type and year, indicates the one closest to that visit's target date. Valid for forms entered with an annual visit type."
"Form 92 - Pap Smear","Baseline, Main","F92EXPC","Expected for visit","This form/data was expected for this visit. Form 92 (Pap Smear) was expected at Baseline and at Annual Visits 3, 6, and 9 for all HT participants with a cervix prior to study closures. Pap Smears were not expected for E+P after study closure on 07/08/2002 or for E-Alone after study closure on 02/29/2004."
"Form 92 - Pap Smear","Baseline, Main","PAPCOLBY","Pap smear collected by",""
"Form 92 - Pap Smear","Baseline, Main","PAPCOLDY","Days from randomization to pap smear collection",""
"Form 92 - Pap Smear","Baseline, Main","PAPREVDY","Days from randomization to pap smear review","Days from randomization to pap smear report review"
"Form 92 - Pap Smear","Baseline, Main","ENDOMETR","Cells present - Endometrial cells",""
"Form 92 - Pap Smear","Baseline, Main","ATYPENDO","Cells present - Atypical endocervical cells",""
"Form 92 - Pap Smear","Baseline, Main","ATYPSQUM","Cells present - Atypical squamous cells",""
"Form 92 - Pap Smear","Baseline, Main","ENDOCERV","Cells present - Endocervical cells",""
"Form 92 - Pap Smear","Baseline, Main","PAPRESLT","Pap smear results",""
"Form 92 - Pap Smear","Baseline, Main","PAPREFER","Pap smear - referral for follow-up care","Was a referral made for follow-up care (pap)?"
"Form 92 - Pap Smear","Baseline, Main","PAPREFDY","Days from randomization to pap smear referral",""
"Form 92 - Pap Smear","Baseline, Main","FURESLT","Pap or biopsy follow-up results",""
"WHI Long Life Study Visits","WHI-LLS","ID","WHI Participant Common ID",""
"WHI Long Life Study Visits","WHI-LLS","PPTDRW","Participant Draw Number","ID and PPTDRW identify a specimen draw."
"WHI Long Life Study Visits","WHI-LLS","F301DY","F301 Days since randomization or enrollment",""
"WHI Long Life Study Visits","WHI-LLS","F301VTYP","Visit Type",""
"WHI Long Life Study Visits","WHI-LLS","F301VY","Visit Year","Visit year for which this form was collected."
"WHI Long Life Study Visits","WHI-LLS","F301CONT","Contact type","The method used to collect the data."
"WHI Long Life Study Visits","WHI-LLS","EXAMDY","Exam days since randomization","Days since randomization or enrollment to exam date."
"WHI Long Life Study Visits","WHI-LLS","EXAMTIME","Exam time","Time the exam was performed in 12 hour time.  Format HH12MI. Combine with EXAMAMPM to get time of day."
"WHI Long Life Study Visits","WHI-LLS","EXAMAMPM","Exam time am/pm",""
"WHI Long Life Study Visits","WHI-LLS","EXAMTIME24","Exam Time 24","Computed variable: Time the exam was performed in 24 hour time. Format HH24:MI."
"WHI Long Life Study Visits","WHI-LLS","EXAMLOC","Exam location",""
"WHI Long Life Study Visits","WHI-LLS","EXAMINIT","Exam Initiated?",""
"WHI Long Life Study Visits","WHI-LLS","NOEXAM","No exam reason",""
"WHI Long Life Study Visits","WHI-LLS","PULSE30","Resting pulse in 30 seconds",""
"WHI Long Life Study Visits","WHI-LLS","SYSTBP1","Systolic blood pressure (1st reading)",""
"WHI Long Life Study Visits","WHI-LLS","DIASBP1","Diastolic blood pressure (1st reading)",""
"WHI Long Life Study Visits","WHI-LLS","SYSTBP2","Systolic blood pressure (2nd reading)",""
"WHI Long Life Study Visits","WHI-LLS","DIASBP2","Diastolic blood pressure (2nd reading)",""
"WHI Long Life Study Visits","WHI-LLS","DRAWSUCCESS","Specimen draw success flag","Flag indicating that the specimen collection in the exam was successful."
"WHI Long Life Study Visits","WHI-LLS","FASTHRS","Fasting hours","Number of hours since had anything to eat or drink besides water before specimen draw."
"WHI Long Life Study Visits","WHI-LLS","DIABMEDS","Diabetes meds taken","Insulin or other diabetes medication taken the morning before the blood draw."
"WHI Long Life Study Visits","WHI-LLS","DRAWTRIES","Specimen draw attempts",""
"WHI Long Life Study Visits","WHI-LLS","NODRAW","No draw reason",""
"WHI Long Life Study Visits","WHI-LLS","DRAWTIME","Time of final draw","Time of final draw attempt in 12 hour time: Format HH12MI. Combine with DRAWAMPM to get time of day."
"WHI Long Life Study Visits","WHI-LLS","DRAWAMPM","Time of final draw am/pm",""
"WHI Long Life Study Visits","WHI-LLS","DRAWTIME24","Time of final draw 24","Computed variable: Time of final draw attempt in 24 hour time. Format HH24:MI."
"WHI Long Life Study Visits","WHI-LLS","NEEDLEGAUGE","Specimen draw needle gauge",""
"WHI Long Life Study Visits","WHI-LLS","DRAWQUAL","Draw quality",""
"WHI Long Life Study Visits","WHI-LLS","HEIGHT","Height, in",""
"WHI Long Life Study Visits","WHI-LLS","WEIGHT","Weight, lb",""
"WHI Long Life Study Visits","WHI-LLS","WAIST","Waist circumference, in",""
"WHI Long Life Study Visits","WHI-LLS","GRIPCOMP","Grip strength: completion",""
"WHI Long Life Study Visits","WHI-LLS","GRIPDOM","Grip strength: Dominant hand",""
"WHI Long Life Study Visits","WHI-LLS","RGRIPSTR1","Right grip strength measurement 1 (kg)","Right hand grip strength: Measurement #1 (kg)."
"WHI Long Life Study Visits","WHI-LLS","RGRIPSTR2","Right grip strength measurement 2 (kg)","Right hand grip strength: Measurement #2 (kg)."
"WHI Long Life Study Visits","WHI-LLS","LGRIPSTR1","Left grip strength measurement 1 (kg)","Left hand grip strength: Measurement #1 (kg)."
"WHI Long Life Study Visits","WHI-LLS","LGRIPSTR2","Left grip strength measurement 2 (kg)","Left hand grip strength: Measurement #2 (kg)."
"WHI Long Life Study Visits","WHI-LLS","SBSCOMP","Side by side: completion","Side-by-side balance test completed."
"WHI Long Life Study Visits","WHI-LLS","SBSTIME","Side by side: time","Side-by-side balance test time (seconds)."
"WHI Long Life Study Visits","WHI-LLS","SEMITDMCOMP","Semi tandem: completion","Semi-tandem balance test completed."
"WHI Long Life Study Visits","WHI-LLS","SEMITDMTIME","Semi tandem: time","Semi-tandem balance test time (seconds)."
"WHI Long Life Study Visits","WHI-LLS","TDMCOMP","Tandem stand: completion","Tandem stand balance test completed."
"WHI Long Life Study Visits","WHI-LLS","TDMTIME1","Tandem stand: time 1","Tandem stand balance test time #1 (seconds)."
"WHI Long Life Study Visits","WHI-LLS","TDMTIME2","Tandem stand: time 2","Tandem stand balance test time #2 (seconds)."
"WHI Long Life Study Visits","WHI-LLS","ONELEGCOMP","One leg: completion","One leg balance test completion."
"WHI Long Life Study Visits","WHI-LLS","ONELEGTIME1","One leg: time 1","One leg balance test time #1 (seconds)."
"WHI Long Life Study Visits","WHI-LLS","ONELEGTIME2","One leg: time 2","One leg balance test time #2 (seconds)."
"WHI Long Life Study Visits","WHI-LLS","NOBLNCRSN","No balance test reason",""
"WHI Long Life Study Visits","WHI-LLS","BLNCMETH","Balance test timing method",""
"WHI Long Life Study Visits","WHI-LLS","COURSLEN","Course length","Course length for timed walk."
"WHI Long Life Study Visits","WHI-LLS","COURSMEAS","Course measurement","Course measurement method for timed walk."
"WHI Long Life Study Visits","WHI-LLS","FLRTYP","Floor type","Floor type for timed walk."
"WHI Long Life Study Visits","WHI-LLS","TMDWALKCOMP","Timed walk: completion",""
"WHI Long Life Study Visits","WHI-LLS","TMDWALKTIME1","Timed walk: time 1","Timed walk test time #1 (seconds)."
"WHI Long Life Study Visits","WHI-LLS","TMDWALKTIME2","Timed walk: time 2","Timed walk test time #2 (seconds)."
"WHI Long Life Study Visits","WHI-LLS","TWALERTFLG","Timed walk alert flag","Flag indicating the Timed Walk tests were performed outside of the protocol. Rather than timing one length of the course (out), and then timing another length (back), the time reported is for the round trip (i.e., out and back)."
"WHI Long Life Study Visits","WHI-LLS","ASSTDVC","Assistive device used","Assistive device used for timed walk."
"WHI Long Life Study Visits","WHI-LLS","CHAIRTYP","Chair type","Chair type for chair stand."
"WHI Long Life Study Visits","WHI-LLS","SNGCHRSTNDCOMP","Single chair stand: completion",""
"WHI Long Life Study Visits","WHI-LLS","RPTCHRSTNDCOMP","Repeated chair stand: completion",""
"WHI Long Life Study Visits","WHI-LLS","RPTCHRTIME","Repeated chair stand: time","Repeated chair stand: time it took to rise out of a chair 5 times in succession (seconds)."
"WHI Long Life Study Visits","WHI-LLS","BMI","Body-mass Index (BMI), kg/m2","If a participant's BMI is greater than 70, BMI is missing."
"WHI Long Life Study Visits","WHI-LLS","BMIC","Body-mass Index (BMI), kg/m2","Computed from Form 301, height and weight. Reference: Expert Panel on the identification, evaluation, and treatment on overweight in adults (1998). Categorization of BMI into six groups. If a participant's BMI is greater than 70, BMIC is missing."
"WHI Long Life Study Visits","WHI-LLS","LASPPB","Look AHEAD short physical performance battery score","A continuous score (0-3) calculated as the sum of balance, chair stand, and gait speed ratios.  See data prep document for details."
